Division,Batch-Transaction ID,Transaction Date,Card Posting Dt,Merchant Name,Transaction Amt.,Trx.Currency,Original Amount,Original Currency,G/L Account,G/L Account Description,Cost Center / WBS Element / Order,Cost Center / WBS Element / Order Description,Merchant Type,Merchant Type Description,Purpose
,,,,,"4,182.14",CAD,"4,182.14",CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5289-15,7/3/2019,7/3/2019,AMAZON.CA*MH3PP3GN1,31.47,CAD,31.47,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04878,ANNETTE CC-SUMMER CAMPS,4816,Computer Network/Information Services,SHRINKY DINKS
"PARKS, FORESTRY & RECREATION",5290-28,7/2/2019,7/3/2019,THE HOME DEPOT #7013,177.76,CAD,177.76,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P05108,MT DENNIS CC-SUMMER CAMPS,5200,Home Supply Warehouse,**MORE**  TOW CHAIN
"PARKS, FORESTRY & RECREATION",5290-29,7/3/2019,7/3/2019,KERNELS POPCORN,65.52,CAD,65.52,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04878,ANNETTE CC-SUMMER CAMPS,5814,Quick Payment Service - Fast-Food Restau,POPCORN
"PARKS, FORESTRY & RECREATION",5290-30,7/4/2019,7/4/2019,AMZN MKTP CA*MH26G9VX1,39.96,CAD,39.96,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P05108,MT DENNIS CC-SUMMER CAMPS,4816,Computer Network/Information Services,RAIN PONCHOS
"PARKS, FORESTRY & RECREATION",5291-99,7/4/2019,7/4/2019,AMZN MKTP CA*MH6UR1JK0,52.99,CAD,52.99,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P13057,GEN INTRST & CLUBS - DUFFERIN GROVE PARK,4816,Computer Network/Information Services,WIRELESS MIC
"PARKS, FORESTRY & RECREATION",5291-100,7/5/2019,7/5/2019,CONSERVATION HALTON (C,640.00,CAD,640.00,CAD,4118,TICKETS AND ADMISSION FEES,P05108,MT DENNIS CC-SUMMER CAMPS,7033,Campgrounds and Trailer Parks,CAMP TRIP
"PARKS, FORESTRY & RECREATION",5291-101,7/3/2019,7/4/2019,WAL-MART #3106,185.46,CAD,185.46,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P05108,MT DENNIS CC-SUMMER CAMPS,5411,"Grocery Stores, Supermarkets","GRAHAM CRACKERS, COOKIES, MARSHMALLOWS"
"PARKS, FORESTRY & RECREATION",5291-102,7/5/2019,7/5/2019,PLANET BOWL,393.24,CAD,393.24,CAD,4118,TICKETS AND ADMISSION FEES,P04878,ANNETTE CC-SUMMER CAMPS,7933,Bowling Alleys,CAMP TRIP
"PARKS, FORESTRY & RECREATION",5291-103,7/4/2019,7/4/2019,CHUCK E CHEESE,300.35,CAD,300.35,CAD,4118,TICKETS AND ADMISSION FEES,P04878,ANNETTE CC-SUMMER CAMPS,5812,"Eating Places, Restaurants",CAMP TRIP ADMISSION
"PARKS, FORESTRY & RECREATION",5293-15,7/7/2019,7/7/2019,DOLLARAMA #1047,78.59,CAD,78.59,CAD,2750,FOOD & NON-ALCOHOLIC BEVERAGES,P04878,ANNETTE CC-SUMMER CAMPS,5310,Discount Stores,"COFFEE CUPS, FOAM SHAPES"
"PARKS, FORESTRY & RECREATION",5293-16,7/7/2019,7/7/2019,MICHAELS #4921,173.82,CAD,173.82,CAD,2750,FOOD & NON-ALCOHOLIC BEVERAGES,P04878,ANNETTE CC-SUMMER CAMPS,5945,"Game, Toy, and Hobby Shops","CANVAS, PAINT, CONSTRUCTION PAPER"
"PARKS, FORESTRY & RECREATION",5295-25,7/8/2019,7/8/2019,FRESHCO 3586,121.80,CAD,121.80,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04878,ANNETTE CC-SUMMER CAMPS,5411,"Grocery Stores, Supermarkets",CAMP SUPPLIES
"PARKS, FORESTRY & RECREATION",5296-47,7/9/2019,7/9/2019,PARTY CITY #2028,45.19,CAD,45.19,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04878,ANNETTE CC-SUMMER CAMPS,5947,"Card, Gift, Novelty, and Souvenir Shops",HELIUM CANNISTER
"PARKS, FORESTRY & RECREATION",5296-48,7/9/2019,7/9/2019,STAPLES #189,3.30,CAD,3.30,CAD,2750,FOOD & NON-ALCOHOLIC BEVERAGES,P07391,ANNETTE CC-FITNESS,5943,"Office, School Supply, and Stationery St",LETTER PRINTING
"PARKS, FORESTRY & RECREATION",5296-49,7/9/2019,7/9/2019,METRO #493,42.31,CAD,42.31,CAD,2750,FOOD & NON-ALCOHOLIC BEVERAGES,P04878,ANNETTE CC-SUMMER CAMPS,5411,"Grocery Stores, Supermarkets","PAPER PLATES, CUPTS, UTENSILS"
"PARKS, FORESTRY & RECREATION",5297-38,7/9/2019,7/10/2019,WAL-MART # 3031,132.65,CAD,132.65,CAD,2750,FOOD & NON-ALCOHOLIC BEVERAGES,P04878,ANNETTE CC-SUMMER CAMPS,5310,Discount Stores,"SKITTLES,TSHIRTS, MARKERS"
"PARKS, FORESTRY & RECREATION",5297-39,7/10/2019,7/10/2019,STAPLES #189,3.30,CAD,3.30,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P07391,ANNETTE CC-FITNESS,5943,"Office, School Supply, and Stationery St",CHANGE ROOM SIGNS
"PARKS, FORESTRY & RECREATION",5297-40,7/11/2019,7/11/2019,AMZN MKTP CA*MH6IS2PQ0,70.30,CAD,70.30,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04878,ANNETTE CC-SUMMER CAMPS,4816,Computer Network/Information Services,"DICE, CRAFT PLATES"
"PARKS, FORESTRY & RECREATION",5297-41,7/11/2019,7/11/2019,AMZN MKTP CA*MH7AK9H42,30.99,CAD,30.99,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P05108,MT DENNIS CC-SUMMER CAMPS,4816,Computer Network/Information Services,ARCHERY TARGETS
"PARKS, FORESTRY & RECREATION",5298-115,7/12/2019,7/15/2019,DOLLARAMA #1047,65.60,CAD,65.60,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04878,ANNETTE CC-SUMMER CAMPS,5310,Discount Stores,"BALLS, SWIM NOODLES"
"PARKS, FORESTRY & RECREATION",5298-116,7/12/2019,7/15/2019,CINEPLEX 7260     QPS,"1,246.31",CAD,"1,246.31",CAD,4118,TICKETS AND ADMISSION FEES,P04878,ANNETTE CC-SUMMER CAMPS,7832,Motion Picture Theaters,CAMP TRIP
"PARKS, FORESTRY & RECREATION",5298-117,7/12/2019,7/15/2019,PLANET BOWL,628.25,CAD,628.25,CAD,4118,TICKETS AND ADMISSION FEES,P04878,ANNETTE CC-SUMMER CAMPS,7933,Bowling Alleys,CAMP TRIP
"PARKS, FORESTRY & RECREATION",5298-118,7/14/2019,7/15/2019,AMAZON.CA MH0EM4X30,29.38,CAD,29.38,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04878,ANNETTE CC-SUMMER CAMPS,4816,Computer Network/Information Services,ANSWER BUZZERS FOR SPECIAL EVENT
"PARKS, FORESTRY & RECREATION",5298-119,7/12/2019,7/15/2019,WAL-MART # 3031,236.40,CAD,236.40,CAD,2750,FOOD & NON-ALCOHOLIC BEVERAGES,P05108,MT DENNIS CC-SUMMER CAMPS,5310,Discount Stores,"FIREWOOD, CORNMEAL, SEEDS"
"PARKS, FORESTRY & RECREATION",5298-120,7/12/2019,7/15/2019,WAL-MART # 3031,12.60,CAD,12.60,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04878,ANNETTE CC-SUMMER CAMPS,5310,Discount Stores,REPLACEMENT PANTS
"PARKS, FORESTRY & RECREATION",5298-121,7/11/2019,7/15/2019,AMAZON.CA MH3CS96E1,39.98,CAD,39.98,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P05108,MT DENNIS CC-SUMMER CAMPS,4816,Computer Network/Information Services,ARCHERY TARGET
"PARKS, FORESTRY & RECREATION",5298-122,7/11/2019,7/15/2019,AMAZON.CA MH4MR9GP0,14.68,CAD,14.68,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P05108,MT DENNIS CC-SUMMER CAMPS,4816,Computer Network/Information Services,CONSTRUCTION PAPER
"PARKS, FORESTRY & RECREATION",5298-123,7/10/2019,7/15/2019,WAL-MART #1004,67.70,CAD,67.70,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P05108,MT DENNIS CC-SUMMER CAMPS,5411,"Grocery Stores, Supermarkets",LATCH BOXES
"PARKS, FORESTRY & RECREATION",5298-124,7/12/2019,7/15/2019,AMAZON.CA MH6CG6DA1,14.16,CAD,14.16,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04878,ANNETTE CC-SUMMER CAMPS,4816,Computer Network/Information Services,CONSTRUCTION LETTERS
"PARKS, FORESTRY & RECREATION",5300-40,7/15/2019,7/17/2019,THE HOME DEPOT #7013,19.96,CAD,19.96,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P05108,MT DENNIS CC-SUMMER CAMPS,5200,Home Supply Warehouse,"LOCK, CABLES"
"PARKS, FORESTRY & RECREATION",5300-41,7/16/2019,7/17/2019,TOWNSHIP OF KING ONTAR,540.00,CAD,540.00,CAD,4118,TICKETS AND ADMISSION FEES,P05108,MT DENNIS CC-SUMMER CAMPS,9399,Government Services - Not Elsewhere Clas,KING CITY CONSERVATION TRIP
"PARKS, FORESTRY & RECREATION",5301-48,7/17/2019,7/18/2019,SQ      SQ  SAUGA MAGI,814.73,CAD,814.73,CAD,4118,TICKETS AND ADMISSION FEES,P04878,ANNETTE CC-SUMMER CAMPS,8999,Professional Services - Not Elsewhere Cl,MAGIC SHOW
"PARKS, FORESTRY & RECREATION",5301-49,7/17/2019,7/18/2019,NOFRILLS TIM&SUES 1352,109.22,CAD,109.22,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04878,ANNETTE CC-SUMMER CAMPS,5411,"Grocery Stores, Supermarkets","FRITOS, PAM, FREEZIES"
"PARKS, FORESTRY & RECREATION",5301-50,7/17/2019,7/18/2019,DOLLARAMA # 828,11.92,CAD,11.92,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04878,ANNETTE CC-SUMMER CAMPS,5310,Discount Stores,WATER GUNS
"PARKS, FORESTRY & RECREATION",5302-39,7/18/2019,7/19/2019,FANTASY FAIR,382.80,CAD,382.80,CAD,4118,TICKETS AND ADMISSION FEES,P04878,ANNETTE CC-SUMMER CAMPS,7996,"Amusement Parks, Carnivals, Circuses, Fo",CAMP TRIP
"PARKS, FORESTRY & RECREATION",5303-41,7/19/2019,7/22/2019,LOBLAWS 1099,12.76,CAD,12.76,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04878,ANNETTE CC-SUMMER CAMPS,5411,"Grocery Stores, Supermarkets","POPSICLES, ICE"
"PARKS, FORESTRY & RECREATION",5303-42,7/19/2019,7/22/2019,WET'N'WILD TORONTO,"1,541.77",CAD,"1,541.77",CAD,4118,TICKETS AND ADMISSION FEES,P04878,ANNETTE CC-SUMMER CAMPS,7996,"Amusement Parks, Carnivals, Circuses, Fo",CAMP TRIP
"PARKS, FORESTRY & RECREATION",5303-43,7/19/2019,7/22/2019,THE HOME DEPOT #7013,25.97,CAD,25.97,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P05108,MT DENNIS CC-SUMMER CAMPS,5200,Home Supply Warehouse,*
"PARKS, FORESTRY & RECREATION",5303-44,7/21/2019,7/22/2019,MICHAELS #4921,49.67,CAD,49.67,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04878,ANNETTE CC-SUMMER CAMPS,5945,"Game, Toy, and Hobby Shops",SHRINKY DINKS
"PARKS, FORESTRY & RECREATION",5303-45,7/21/2019,7/22/2019,PARTY CITY #2028,63.25,CAD,63.25,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04878,ANNETTE CC-SUMMER CAMPS,5947,"Card, Gift, Novelty, and Souvenir Shops","BANNER, HELIUM TANK, POSTER BOARD"
"PARKS, FORESTRY & RECREATION",5303-46,7/22/2019,7/22/2019,AMZN MKTP CA MH16E37S0,36.88,CAD,36.88,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04878,ANNETTE CC-SUMMER CAMPS,4816,Computer Network/Information Services,"SHRINKY DINKS, WATER BEADS"
"PARKS, FORESTRY & RECREATION",5304-35,7/22/2019,7/23/2019,STAPLES #189,4.38,CAD,4.38,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04878,ANNETTE CC-SUMMER CAMPS,5943,"Office, School Supply, and Stationery St",RECRUITMENT POSTERS
"PARKS, FORESTRY & RECREATION",5304-36,7/21/2019,7/23/2019,WAL-MART # 3031,106.54,CAD,106.54,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04878,ANNETTE CC-SUMMER CAMPS,5310,Discount Stores,"SMARTIES, GLITTER, VELCRO"
"PARKS, FORESTRY & RECREATION",5304-37,7/21/2019,7/23/2019,WAL-MART # 3031,-47.34,CAD,-47.34,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04878,ANNETTE CC-SUMMER CAMPS,5310,Discount Stores,REFUND
"PARKS, FORESTRY & RECREATION",5305-35,7/23/2019,7/24/2019,DOLLARAMA # 828,27.18,CAD,27.18,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04878,ANNETTE CC-SUMMER CAMPS,5310,Discount Stores,JOLLY RANCHERS
"PARKS, FORESTRY & RECREATION",5306-43,7/24/2019,7/25/2019,MAD SCIENCE OF TORONTO,203.40,CAD,203.40,CAD,4118,TICKETS AND ADMISSION FEES,P04878,ANNETTE CC-SUMMER CAMPS,7929,"Bands, Orchestras, and Miscellaneous Ent",CAMP WORKSHOP
"PARKS, FORESTRY & RECREATION",5306-44,7/24/2019,7/25/2019,PARTY CITY #2028,41.75,CAD,41.75,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04878,ANNETTE CC-SUMMER CAMPS,5947,"Card, Gift, Novelty, and Souvenir Shops","BALLOONS, HELIUM, GAME"
"PARKS, FORESTRY & RECREATION",5307-58,7/25/2019,7/26/2019,NOFRILLS TIM&SUES 1352,4.06,CAD,4.06,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04878,ANNETTE CC-SUMMER CAMPS,5411,"Grocery Stores, Supermarkets",MELONS
"PARKS, FORESTRY & RECREATION",5307-59,7/25/2019,7/26/2019,NOFRILLS TIM&SUES 1352,39.49,CAD,39.49,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04878,ANNETTE CC-SUMMER CAMPS,5411,"Grocery Stores, Supermarkets","SOAP, CORN SYRUP, LEMONADE"
"PARKS, FORESTRY & RECREATION",5307-60,7/25/2019,7/26/2019,DOLLARAMA # 828,72.46,CAD,72.46,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04878,ANNETTE CC-SUMMER CAMPS,5310,Discount Stores,"DISH SOAP, CANDIES"
"PARKS, FORESTRY & RECREATION",5307-61,7/26/2019,7/26/2019,AMZN MKTP CA MA14R4AQ2,48.89,CAD,48.89,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04878,ANNETTE CC-SUMMER CAMPS,4816,Computer Network/Information Services,"POP STICKS, HOT GLUE GUN"
"PARKS, FORESTRY & RECREATION",5307-62,7/24/2019,7/26/2019,WAL-MART #1004,70.14,CAD,70.14,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04878,ANNETTE CC-SUMMER CAMPS,5411,"Grocery Stores, Supermarkets",T SHIRTS FOR PROJECT
"PARKS, FORESTRY & RECREATION",5308-46,7/26/2019,7/29/2019,AMZN MKTP CA MA0JH03G1,52.97,CAD,52.97,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04878,ANNETTE CC-SUMMER CAMPS,4816,Computer Network/Information Services,"WREATHS, FASTENERS"
"PARKS, FORESTRY & RECREATION",5308-47,7/26/2019,7/29/2019,DOLLARAMA #1047,34.52,CAD,34.52,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04878,ANNETTE CC-SUMMER CAMPS,5310,Discount Stores,"LETTER TRAY, PLASTIC FLOWERS, TREATS"
"PARKS, FORESTRY & RECREATION",5308-48,7/25/2019,7/29/2019,WAL-MART #1004,72.20,CAD,72.20,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04878,ANNETTE CC-SUMMER CAMPS,5411,"Grocery Stores, Supermarkets","GLITTER, HANGING FOLDERS"
"PARKS, FORESTRY & RECREATION",5308-49,7/25/2019,7/29/2019,WAL-MART #3055,20.34,CAD,20.34,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04878,ANNETTE CC-SUMMER CAMPS,5411,"Grocery Stores, Supermarkets",CHOCOLATES
"PARKS, FORESTRY & RECREATION",5308-50,7/26/2019,7/29/2019,ACTIVE KIDS/ME & MY TE,"1,319.84",CAD,"1,319.84",CAD,4118,TICKETS AND ADMISSION FEES,P04878,ANNETTE CC-SUMMER CAMPS,7032,Recreational and Sporting Camps,CAMP TRIP
"PARKS, FORESTRY & RECREATION",5308-51,7/26/2019,7/29/2019,WAL-MART # 3031,90.59,CAD,90.59,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04878,ANNETTE CC-SUMMER CAMPS,5310,Discount Stores,"KOOL AID, CD S"
"PARKS, FORESTRY & RECREATION",5309-27,7/29/2019,7/30/2019,INT IN  INSTITUTE OF C,197.75,CAD,197.75,CAD,4118,TICKETS AND ADMISSION FEES,P04878,ANNETTE CC-SUMMER CAMPS,7032,Recreational and Sporting Camps,ICE ROBOTICS WORKSHOP
"PARKS, FORESTRY & RECREATION",5309-28,7/29/2019,7/30/2019,CONSERVATION HALTON (,288.00,CAD,288.00,CAD,4118,TICKETS AND ADMISSION FEES,P05108,MT DENNIS CC-SUMMER CAMPS,7033,Campgrounds and Trailer Parks,CAMP TRIP
"PARKS, FORESTRY & RECREATION",5310-35,7/29/2019,7/31/2019,WAL-MART #1004,103.94,CAD,103.94,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P05108,MT DENNIS CC-SUMMER CAMPS,5411,"Grocery Stores, Supermarkets","CINNAMON, COOKIES, FRUITS"
,,,,,"11,304.09",CAD,"11,304.09",CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5288-34,6/28/2019,7/1/2019,CDN TIRE STORE #00182,437.63,CAD,437.63,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04899,WALLACE EMERSON-SUMMER CAMPS,5200,Home Supply Warehouse,GAMES AND FIRS AID PACKS
"PARKS, FORESTRY & RECREATION",5288-35,6/28/2019,7/1/2019,#5141 SPORT CHEK,204.44,CAD,204.44,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04899,WALLACE EMERSON-SUMMER CAMPS,5941,Sporting Goods Stores,SPORTS CAMP SUPPLIES
"PARKS, FORESTRY & RECREATION",5291-104,7/5/2019,7/5/2019,REXALL PHARMACY #2287,191.62,CAD,191.62,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04899,WALLACE EMERSON-SUMMER CAMPS,5912,"Drug Stores, Pharmacies",SUN BLOCK
"PARKS, FORESTRY & RECREATION",5293-17,7/6/2019,7/6/2019,NATIONAL SPORTS #13,44.04,CAD,44.04,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04899,WALLACE EMERSON-SUMMER CAMPS,5655,"Sports Apparel, Riding Apparel Stores",HIT TRAINER
"PARKS, FORESTRY & RECREATION",5293-18,7/4/2019,7/5/2019,ACTIVE KIDS/ME & MY TE,668.96,CAD,668.96,CAD,4118,TICKETS AND ADMISSION FEES,P04899,WALLACE EMERSON-SUMMER CAMPS,7032,Recreational and Sporting Camps,CAMP TRIP
"PARKS, FORESTRY & RECREATION",5297-42,7/10/2019,7/10/2019,FRESHCO 3586,102.66,CAD,102.66,CAD,2750,FOOD & NON-ALCOHOLIC BEVERAGES,P04899,WALLACE EMERSON-SUMMER CAMPS,5411,"Grocery Stores, Supermarkets",BAKING SUPPLIES
"PARKS, FORESTRY & RECREATION",5298-125,7/11/2019,7/15/2019,SKYZONE-TORONTO (CA100,"1,401.20",CAD,"1,401.20",CAD,4118,TICKETS AND ADMISSION FEES,P04899,WALLACE EMERSON-SUMMER CAMPS,7999,Recreation Services (Not Elsewhere Class,CAMP TRIP
"PARKS, FORESTRY & RECREATION",5298-126,7/11/2019,7/15/2019,MEDTECH GROUP,246.04,CAD,246.04,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04899,WALLACE EMERSON-SUMMER CAMPS,5999,Miscellaneous and Specialty Retail Store,CAMP WRISTBANDS
"PARKS, FORESTRY & RECREATION",5298-127,7/11/2019,7/15/2019,FRESHCO 3586,17.40,CAD,17.40,CAD,2750,FOOD & NON-ALCOHOLIC BEVERAGES,P04899,WALLACE EMERSON-SUMMER CAMPS,5411,"Grocery Stores, Supermarkets","ICE CREAM, OREO COOKIES"
"PARKS, FORESTRY & RECREATION",5300-42,7/15/2019,7/17/2019,WAL-MART #3106,67.77,CAD,67.77,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04899,WALLACE EMERSON-SUMMER CAMPS,5411,"Grocery Stores, Supermarkets",COOLER
"PARKS, FORESTRY & RECREATION",5301-51,7/17/2019,7/18/2019,JUST FOR FUN  PARTY AN,237.30,CAD,237.30,CAD,4118,TICKETS AND ADMISSION FEES,P04899,WALLACE EMERSON-SUMMER CAMPS,7996,"Amusement Parks, Carnivals, Circuses, Fo",CAMP TRIP
"PARKS, FORESTRY & RECREATION",5302-40,7/18/2019,7/19/2019,PLAYTIME BOWL,901.18,CAD,901.18,CAD,4118,TICKETS AND ADMISSION FEES,P04899,WALLACE EMERSON-SUMMER CAMPS,7933,Bowling Alleys,CAMP TRIP
"PARKS, FORESTRY & RECREATION",5304-38,7/22/2019,7/23/2019,SQ  SQ  KREATIVE KIDZ,220.51,CAD,220.51,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04899,WALLACE EMERSON-SUMMER CAMPS,7999,Recreation Services (Not Elsewhere Class,CAMP ACTIVITY
"PARKS, FORESTRY & RECREATION",5304-39,7/22/2019,7/23/2019,BASTONE HOME HARDWARE,116.25,CAD,116.25,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P10467,WALLACE EMERSON-PRGM SUPPORT,5251,Hardware Stores,CAMP CHAINS FOR BIKES
"PARKS, FORESTRY & RECREATION",5304-40,7/22/2019,7/23/2019,FRESHCO 3586,81.78,CAD,81.78,CAD,2750,FOOD & NON-ALCOHOLIC BEVERAGES,P04899,WALLACE EMERSON-SUMMER CAMPS,5411,"Grocery Stores, Supermarkets",BAKING SUPPLIES
"PARKS, FORESTRY & RECREATION",5307-63,7/25/2019,7/26/2019,FAMOUS PLAYER 7406QPS,"1,468.39",CAD,"1,468.39",CAD,4118,TICKETS AND ADMISSION FEES,P04899,WALLACE EMERSON-SUMMER CAMPS,7832,Motion Picture Theaters,CAMP TRIP
,,,,,"6,407.17",CAD,"6,407.17",CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5290-31,6/30/2019,7/3/2019,WAL-MART # 3113,81.90,CAD,81.90,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P13276,SUMMER CAMPS - SELWYN ES,5310,Discount Stores,REC SUPPLIES
"PARKS, FORESTRY & RECREATION",5290-32,6/30/2019,7/3/2019,WAL-MART # 3113,69.20,CAD,69.20,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04122,STAN WADLOW COMPLEX-SUMMER CAMPS,5310,Discount Stores,REC SUPPLIES
"PARKS, FORESTRY & RECREATION",5291-105,7/4/2019,7/4/2019,TORONTO FRINGE,104.00,CAD,104.00,CAD,4118,TICKETS AND ADMISSION FEES,P13278,SUMMER CAMPS - TOPHAM PARK,7922,Theatrical Producers (except Motion Pict,CAMP TRIP
"PARKS, FORESTRY & RECREATION",5291-106,7/4/2019,7/4/2019,TORONTO FRINGE,139.00,CAD,139.00,CAD,4118,TICKETS AND ADMISSION FEES,P13276,SUMMER CAMPS - SELWYN ES,7922,Theatrical Producers (except Motion Pict,CAMP TRIP
"PARKS, FORESTRY & RECREATION",5291-107,7/4/2019,7/4/2019,TORONTO FRINGE,184.00,CAD,184.00,CAD,4118,TICKETS AND ADMISSION FEES,P04122,STAN WADLOW COMPLEX-SUMMER CAMPS,7922,Theatrical Producers (except Motion Pict,CAMP TRIP
"PARKS, FORESTRY & RECREATION",5291-108,7/5/2019,7/5/2019,DOLLARAMA #1182,22.32,CAD,22.32,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04122,STAN WADLOW COMPLEX-SUMMER CAMPS,5310,Discount Stores,KITCHEN SUPPLIES
"PARKS, FORESTRY & RECREATION",5293-19,7/5/2019,7/5/2019,SOBEYS 718        QPS,9.98,CAD,9.98,CAD,2750,FOOD & NON-ALCOHOLIC BEVERAGES,P04122,STAN WADLOW COMPLEX-SUMMER CAMPS,5411,"Grocery Stores, Supermarkets",FOOD
"PARKS, FORESTRY & RECREATION",5293-20,7/7/2019,7/7/2019,JOE S NO FRILLS 3141,8.99,CAD,8.99,CAD,2750,FOOD & NON-ALCOHOLIC BEVERAGES,P13276,SUMMER CAMPS - SELWYN ES,5411,"Grocery Stores, Supermarkets",FOOD
"PARKS, FORESTRY & RECREATION",5298-128,7/11/2019,7/15/2019,DAVIDSON'S VALU MART #,39.53,CAD,39.53,CAD,2750,FOOD & NON-ALCOHOLIC BEVERAGES,P13276,SUMMER CAMPS - SELWYN ES,5411,"Grocery Stores, Supermarkets",FOOD
"PARKS, FORESTRY & RECREATION",5298-129,7/11/2019,7/15/2019,DAVIDSON'S VALU MART #,38.44,CAD,38.44,CAD,2750,FOOD & NON-ALCOHOLIC BEVERAGES,P04122,STAN WADLOW COMPLEX-SUMMER CAMPS,5411,"Grocery Stores, Supermarkets",FOOD
"PARKS, FORESTRY & RECREATION",5298-130,7/11/2019,7/15/2019,DOLLARAMA # 764,56.61,CAD,56.61,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P13276,SUMMER CAMPS - SELWYN ES,5310,Discount Stores,REC SUPPLIES
"PARKS, FORESTRY & RECREATION",5298-131,7/11/2019,7/15/2019,DOLLARAMA # 764,45.91,CAD,45.91,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04122,STAN WADLOW COMPLEX-SUMMER CAMPS,5310,Discount Stores,"PENS, KIDS SCISSORS, DUCT TAPE"
"PARKS, FORESTRY & RECREATION",5298-132,7/11/2019,7/15/2019,DOLLARAMA #1182,18.65,CAD,18.65,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P12154,STAN WADLOW-MULTIPURP CTRS-PRGM SUP,5310,Discount Stores,"PENS, SCISSORS"
"PARKS, FORESTRY & RECREATION",5300-43,7/16/2019,7/17/2019,SQ  MUSEUM OF ILLUSION,135.00,CAD,135.00,CAD,4118,TICKETS AND ADMISSION FEES,P04122,STAN WADLOW COMPLEX-SUMMER CAMPS,7929,"Bands, Orchestras, and Miscellaneous Ent",CAMP TRIP
"PARKS, FORESTRY & RECREATION",5300-44,7/16/2019,7/17/2019,SQ  MUSEUM OF ILLUSION,140.00,CAD,140.00,CAD,4118,TICKETS AND ADMISSION FEES,P13276,SUMMER CAMPS - SELWYN ES,7929,"Bands, Orchestras, and Miscellaneous Ent",CAMP TRIP
